Ligand Receptor SECRETOME ACD31 BCOL-HIGH CCOL-LOW DNES-HIGH ENES-LOW FNG2_Receptor
B2M HFE UP UP NA NA UP NA NA
PF4 THBD UP NA NA UP NA NA NA
PF4 LDLR UP NA NA UP NA NA NA
CCL5 ACKR4 UP NA NA NA UP NA NA
CCL5 SDC1 UP NA NA UP NA UP NA
CCL13 ACKR4 UP NA NA NA UP NA NA
APP TNFRSF21 UP NA NA UP NA NA NA
LRPAP1 LDLR UP NA NA UP NA NA NA
TF TFR2 UP NA NA NA NA UP NA
MFGE8 PDGFRB UP NA NA UP NA NA NA
MDK GPC2 UP NA NA NA NA UP NA
MDK SDC1 UP NA NA UP NA UP NA
MDK PTPRZ1 UP NA NA NA NA NA NA
TNC SDC1 UP NA NA UP NA UP NA
CCL11 ACKR4 UP NA NA NA UP NA NA
CCL25 ACKR4 UP NA NA NA UP NA NA
CXCL13 ACKR4 UP NA NA NA UP NA NA
CCL19 ACKR4 UP NA NA NA UP NA NA
INS INSR UP NA NA NA UP NA NA
NAMPT INSR UP NA NA NA UP NA NA
IL20 IL20RA UP NA NA UP NA NA NA
CCL8 ACKR4 UP NA NA NA UP NA NA
ADCYAP1 VIPR2 UP NA NA UP NA NA NA
SCT VIPR2 UP NA NA UP NA NA NA
FGF23 PHEX UP NA NA NA UP NA NA
COL8A1 ITGA1 UP NA NA UP NA NA NA
IL4 CD53 DOWN NA NA DOWN NA NA NA
SPP1 S1PR1 DOWN NA NA DOWN NA NA NA
SPP1 ITGA4 DOWN DOWN NA DOWN NA NA NA
IL3 CSF2RB DOWN NA DOWN NA NA NA NA
HP ITGB2 DOWN DOWN NA NA NA NA NA
HP ITGAM DOWN NA DOWN DOWN NA NA NA
DKK1 LRP5 DOWN NA NA NA NA DOWN NA
EFNB2 PECAM1 DOWN NA DOWN NA NA NA NA
F2 F2RL1 DOWN NA NA NA NA NA DOWN
VEGFA SIRPA DOWN DOWN NA NA NA NA NA
VEGFA TYRO3 DOWN NA NA NA NA DOWN NA
PTGS2 ALOX5 DOWN DOWN NA NA NA NA NA
CD40LG ITGB2 DOWN DOWN NA NA NA NA NA
CD40LG ITGAM DOWN NA DOWN DOWN NA NA NA
VIP VIPR2 DOWN NA NA NA NA NA DOWN
NTN1 UNC5A DOWN DOWN NA NA NA NA NA
NTN1 UNC5C DOWN NA NA NA NA DOWN NA
KNG1 ITGB2 DOWN DOWN NA NA NA NA NA
KNG1 ITGAM DOWN NA DOWN DOWN NA NA NA
BCAN NRCAM DOWN DOWN NA NA NA NA NA
CTGF ITGB2 DOWN DOWN NA NA NA NA NA
CTGF ITGAM DOWN NA DOWN DOWN NA NA NA
VEGFC FLT4 DOWN DOWN NA NA NA NA NA
VEGFC VIPR2 DOWN NA NA NA NA NA DOWN
PROC ITGB2 DOWN DOWN NA NA NA NA NA
PROC ITGAM DOWN NA DOWN DOWN NA NA NA
THBS2 ITGA4 DOWN DOWN NA DOWN NA NA NA
PROS1 AXL DOWN DOWN NA NA NA NA NA
PROS1 TYRO3 DOWN NA NA NA NA DOWN NA
PYY NPY1R DOWN NA NA NA NA DOWN NA
DHH PTCH1 DOWN NA NA NA NA DOWN NA
DHH HHIP DOWN NA NA NA NA DOWN NA
DHH BOC DOWN NA NA NA NA NA DOWN
ANGPTL4 TIE1 DOWN NA DOWN NA NA NA NA
FN1 FLT4 DOWN DOWN NA NA NA NA NA
FN1 ITGB7 DOWN DOWN NA NA NA NA NA
FN1 C5AR1 DOWN NA DOWN NA NA NA NA
FN1 ITGA4 DOWN DOWN NA DOWN NA NA NA
THBS1 CD36 DOWN NA DOWN NA NA NA NA
THBS1 ITGA4 DOWN DOWN NA DOWN NA NA NA
THBS1 LRP5 DOWN NA NA NA NA DOWN NA
VWF SIRPA DOWN DOWN NA NA NA NA NA
ICAM2 ITGB2 DOWN DOWN NA NA NA NA NA
ICAM2 ITGAM DOWN NA DOWN DOWN NA NA NA
PTN PTPRB DOWN NA DOWN NA NA NA NA
PTN PTPRS DOWN NA NA NA NA DOWN NA
PTN PTPRZ1 DOWN NA NA NA NA DOWN NA
CXCL12 CXCR4 DOWN NA DOWN NA NA NA NA
APOE LRP5 DOWN NA NA NA NA DOWN NA
APOE VLDLR DOWN NA NA NA NA DOWN NA
